Bt20_ID,BH_ID,Date,Way_Point
3011977,,"CRTD 10:23 18-NOV-06","S26 11.295 E28 04.420"
3052705,,"CRTD 14:32 24-OCT-06","S26 13.988 E27 52.625"
3061161,,"CRTD 12:14 13-OCT-06","S26 14.191 E27 52.510"
3113132,,"CRTD 12:40 06-NOV-06","S26 13.972 E27 53.325"
3127252,,"CRTD 15:15 25-OCT-06","S26 14.081 E27 53.457"
313315,,"CRTD 12:00 18-NOV-06","S26 11.331 E28 04.095"
3341858,,"CRTD 06:51 21-OCT-06","S26 12.996 E27 51.828"
3342882,,"CRTD 08:58 26-SEP-06","S26 13.610 E27 49.609"
3351234,,"CRTD 11:09 15-OCT-06","S26 16.473 E27 50.768"
3360234,,"CRTD 15:34 12-OCT-06","S26 14.104 E27 52.534"
3405906,,"CRTD 14:21 18-OCT-06","S26 14.886 E27 50.149"
3419482,,"CRTD 06:35 07-NOV-06","S26 15.790 E27 56.394"
3421189,,"CRTD 13:16 20-NOV-06","S26 15.891 E27 53.781"
3428357,,"CRTD 13:17 16-NOV-06","S26 15.841 E27 55.049"
3442261,,"CRTD 08:40 02-DEC-06","S26 04.585 E28 05.983"
3464517,,"CRTD 12:37 08-NOV-06","S26 13.741 E27 49.076"
349014,,"CRTD 11:19 09-NOV-06","S26 14.761 E27 49.908"
3515288,,"CRTD 07:15 01-DEC-06","S26 14.007 E27 53.453"
3576456,,"CRTD 14:37 18-OCT-06","S26 14.570 E27 50.081"
4469640,361,"CRTD 09:40 03-NOV-06","S26 14.178 E27 53.084"
1082747,365,"CRTD 12:30 18-SEP-06","S26 14.329 E27 51.581"
3687531,,"CRTD 07:34 06-DEC-06","S26 15.387 E27 50.908"
3703270,,"CRTD 12:46 19-OCT-06","S26 15.219 E27 53.247"
3706342,,"CRTD 14:31 09-NOV-06","S26 15.186 E27 53.403"
3722387,,"CRTD 08:49 14-OCT-06","S26 14.222 E27 49.212"
7585140,375,"CRTD 11:00 20-NOV-06","S26 14.800 E27 52.664"
6038114,376,"CRTD 10:04 22-NOV-06","S26 14.360 E27 49.241"
3768534,,"CRTD 08:12 15-OCT-06","S26 11.591 E27 48.055"
5067575,377,"CRTD 06:10 25-NOV-06","S26 14.401 E27 49.255"
4454016,378,"CRTD 06:11 25-NOV-06","S26 14.401 E27 49.255"
3784486,,"CRTD 12:40 24-OCT-06","S26 11.855 E27 51.650"
3764438,379,"CRTD 06:11 25-NOV-06","S26 14.401 E27 49.255"
